From,Entry,Reviewed,Entry Name,Protein names,Protein names1,Gene Names,Organism,Length,biological_process,cellular_component,molecular_function,Intramembrane,Subcellular location [CC],Transmembrane,Topological domain,Annotation
G1XVC0,G1XVC0,unreviewed,G1XVC0_STRMU,Large ribosomal subunit protein uL23,Large ribosomal subunit protein uL23,rplW SMU_2166,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),99,ribosomal large subunit assembly [GO:0000027]; translation [GO:0006412],cytosolic large ribosomal subunit [GO:0022625],rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735],,,,,2
P59133,P59133,reviewed,RS4_STRMU,Small ribosomal subunit protein uS4 (30S ribosomal protein S4),Small ribosomal subunit protein uS4 ,rpsD SMU_2135c,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),203,ribosomal small subunit biogenesis [GO:0042274]; translation [GO:0006412],small ribosomal subunit [GO:0015935],rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735],,,,,2
P59161,P59161,reviewed,GPMA_STRMU,"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase (BPG-dependent PGAM) (PGAM) (Phosphoglyceromutase) (dPGM) (EC 5.4.2.11)","2,3-bisphosphoglycerate-dependent phosphoglycerate mutase ",gpmA pmgY SMU_596,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),230,gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096],,"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase activity [GO:0046538]",,,,,3
P23504,P23504,reviewed,SPAP_STRMU,Cell surface antigen I/II [Cleaved into: Cell surface antigen I; Cell surface antigen II],Cell surface antigen I/II [Cleaved into: Cell surface antigen I; Cell surface antigen II],spaP SMU_610,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),1562,endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; intracellular protein transport [GO:0006886]; membrane fusion [GO:0061025],ER to Golgi transport vesicle membrane [GO:0012507]; extracellular region [GO:0005576],,,"SUBCELLULAR LOCATION: Secreted, cell wall {ECO:0000255|PROSITE-ProRule:PRU00477, ECO:0000305|PubMed:2687020}; Peptidoglycan-anchor {ECO:0000255|PROSITE-ProRule:PRU00477}.",,,4
Q8DRV7,Q8DRV7,reviewed,RL32_STRMU,Large ribosomal subunit protein bL32 (50S ribosomal protein L32),Large ribosomal subunit protein bL32 ,rpmF SMU_2104a,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),60,translation [GO:0006412],large ribosomal subunit [GO:0015934],structural constituent of ribosome [GO:0003735],,,,,2
P45595,P45595,reviewed,PT1_STRMU,"Phosphoenolpyruvate-protein phosphotransferase (EC 2.7.3.9) (Phosphotransferase system, enzyme I)",Phosphoenolpyruvate-protein phosphotransferase ,ptsI SMU_675,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),577,phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]; phosphorylation [GO:0016310],cytoplasm [GO:0005737],kinase activity [GO:0016301]; metal ion binding [GO:0046872]; phosphoenolpyruvate-protein phosphotransferase activity [GO:0008965],,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.,,,3
Q8DSC4,Q8DSC4,unreviewed,Q8DSC4_STRMU,PTS system mannose-specific EIIAB component (EC 2.7.1.191) (EIIAB-Man) (EIII-Man),PTS system mannose-specific EIIAB component ,ptnA SMU_1877,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),330,phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]; phosphorylation [GO:0016310],cytoplasm [GO:0005737]; plasma membrane [GO:0005886],kinase activity [GO:0016301]; protein-N(PI)-phosphohistidine-sugar phosphotransferase activity [GO:0008982],,SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004236}. Cytoplasm {ECO:0000256|ARBA:ARBA00004496}.,,,3
Q8DVJ2,Q8DVJ2,unreviewed,Q8DVJ2_STRMU,Cysteine synthase (EC 2.5.1.47),Cysteine synthase ,cysK SMU_496,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),308,cysteine biosynthetic process from serine [GO:0006535],cytoplasm [GO:0005737],cysteine synthase activity [GO:0004124]; L-cysteine desulfhydrase activity [GO:0080146],,,,,2
Q8DSN3,Q8DSN3,unreviewed,Q8DSN3_STRMU,Acyl carrier protein (ACP),Acyl carrier protein ,acp acpP SMU_1743,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),74,,cytoplasm [GO:0005737],acyl carrier activity [GO:0000036],,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_01217}.,,,2
Q8CWW5,Q8CWW5,reviewed,CH10_STRMU,Co-chaperonin GroES (10 kDa chaperonin) (Chaperonin-10) (Cpn10),Co-chaperonin GroES ,groES groS SMU_1955,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),95,chaperone cofactor-dependent protein refolding [GO:0051085],cytoplasm [GO:0005737],ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein folding chaperone [GO:0044183]; protein-folding chaperone binding [GO:0051087]; unfolded protein binding [GO:0051082],,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00580}.,,,3
Q8DS11,Q8DS11,reviewed,RS2_STRMU,Small ribosomal subunit protein uS2 (30S ribosomal protein S2),Small ribosomal subunit protein uS2 ,rpsB rs2 SMU_2032,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),261,translation [GO:0006412],cytosolic small ribosomal subunit [GO:0022627],structural constituent of ribosome [GO:0003735],,,,,2
Q8DVV4,Q8DVV4,reviewed,EFG_STRMU,Elongation factor G (EF-G),Elongation factor G ,fusA SMU_359,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),693,ribosome disassembly [GO:0032790],cytosol [GO:0005829],GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746],,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00054}.,,,2
P26283,P26283,reviewed,LDH_STRMU,L-lactate dehydrogenase (L-LDH) (EC 1.1.1.27),L-lactate dehydrogenase ,ldh lct SMU_1115,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),328,glycolytic process [GO:0006096]; lactate metabolic process [GO:0006089],cytoplasm [GO:0005737],L-lactate dehydrogenase activity [GO:0004459],,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00488}.,,,3
O68579,O68579,reviewed,PPAC_STRMU,Probable manganese-dependent inorganic pyrophosphatase (EC 3.6.1.1) (Pyrophosphate phospho-hydrolase) (PPase),Probable manganese-dependent inorganic pyrophosphatase ,ppaC dlt5 ppx1 SMU_1687,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),310,,cytoplasm [GO:0005737],inorganic diphosphate phosphatase activity [GO:0004427]; manganese ion binding [GO:0030145],,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.,,,3
I6L8Y4,I6L8Y4,unreviewed,I6L8Y4_STRMU,Peptidase,Peptidase,pepO SMU_2036,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),631,protein processing [GO:0016485],plasma membrane [GO:0005886],metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222],,,,,1
Q8DSY2,Q8DSY2,reviewed,RRF_STRMU,Ribosome-recycling factor (RRF) (Ribosome-releasing factor),Ribosome-recycling factor ,frr rrf1 SMU_1624,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),185,translational termination [GO:0006415],cytoplasm [GO:0005737],ribosomal large subunit binding [GO:0043023],,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00040}.,,,2
Q8DSJ5,Q8DSJ5,unreviewed,Q8DSJ5_STRMU,"Bacterocin transport accessory protein, Bta","Bacterocin transport accessory protein, Bta",SMU_1788c,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),115,,,,,,,,1
Q8DWE1,Q8DWE1,reviewed,RL28_STRMU,Large ribosomal subunit protein bL28 (50S ribosomal protein L28),Large ribosomal subunit protein bL28 ,rpmB SMU_120,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),62,translation [GO:0006412],ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840],structural constituent of ribosome [GO:0003735],,,,,2
